Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T17:30:00Z,1420b03146fc,1,202.0,43.7,144.0
2026-09-13T17:30:00Z,1420b03146fc,2,185.0,43.7,140.0
2026-09-13T17:30:00Z,1420b03146fc,3,191.0,44.1,133.0
2026-09-13T17:30:00Z,1420b03146fc,4,188.0,43.8,130.0
2026-09-13T17:30:00Z,1420b0314cf5,1,191.0,43.7,146.0
2026-09-13T17:30:00Z,1420b0314cf5,2,203.0,43.4,144.0
2026-09-13T17:30:00Z,1420b0314cf5,3,206.0,43.3,147.0
2026-09-13T17:30:00Z,1420b0314cf5,4,203.0,43.3,145.0
2026-09-13T17:30:00Z,1420b0314d19,1,211.0,44.2,156.0
2026-09-13T17:30:00Z,1420b0314d19,2,207.0,44.0,154.0
2026-09-13T17:30:00Z,1420b0314d19,3,0.0,3.6,0.0
2026-09-13T17:30:00Z,1420b0314d19,4,0.0,3.8,0.0
2026-09-13T17:30:00Z,1420b0314d25,1,207.0,43.9,145.0
2026-09-13T17:30:00Z,1420b0314d25,2,204.0,43.8,143.0
2026-09-13T17:30:00Z,1420b0314d25,3,208.0,43.8,146.0
2026-09-13T17:30:00Z,1420b0314d25,4,206.0,43.6,144.0
2026-09-13T17:30:00Z,1420b0314df9,1,206.0,43.6,154.0
2026-09-13T17:30:00Z,1420b0314df9,2,199.0,43.5,149.0
2026-09-13T17:30:00Z,1420b0314df9,3,200.0,43.5,150.0
2026-09-13T17:30:00Z,1420b0314df9,4,195.0,43.6,147.0
2026-09-13T17:30:00Z,1420b0314f85,1,181.0,43.6,158.0
2026-09-13T17:30:00Z,1420b0314f85,2,180.0,43.5,156.0
2026-09-13T17:30:00Z,1420b0314f85,3,182.0,43.6,157.0
2026-09-13T17:30:00Z,1420b0314f85,4,182.0,43.7,157.0
2026-09-13T17:30:00Z,1420b03150a1,1,38.0,16.0,81.0
2026-09-13T17:30:00Z,1420b03150a1,2,226.0,49.1,124.0
2026-09-13T17:30:00Z,1420b03150a1,3,194.0,43.6,161.0
2026-09-13T17:30:00Z,1420b03150a1,4,195.0,43.5,163.0
2026-09-13T17:30:00Z,1420b0315189,1,195.0,44.2,163.0
2026-09-13T17:30:00Z,1420b0315189,2,194.0,44.3,162.0
2026-09-13T17:30:00Z,1420b0315189,3,195.0,44.0,162.0
2026-09-13T17:30:00Z,1420b0315189,4,196.0,44.5,164.0
2026-09-13T17:30:00Z,1420b03153ec,1,193.0,43.9,162.0
2026-09-13T17:30:00Z,1420b03153ec,2,194.0,43.9,163.0
2026-09-13T17:30:00Z,1420b03153ec,3,195.0,44.1,163.0
2026-09-13T17:30:00Z,1420b03153ec,4,195.0,44.0,163.0
2026-09-13T17:40:00Z,1420b03145c2,1,85.0,42.6,166.0
2026-09-13T17:40:00Z,1420b03145c2,3,85.0,42.8,164.0
2026-09-13T17:40:00Z,1420b03145c2,4,82.0,42.7,160.0
2026-09-13T17:40:00Z,1420b0314618,1,104.0,42.7,186.0
2026-09-13T17:40:00Z,1420b0314618,2,102.0,42.6,183.0
2026-09-13T17:40:00Z,1420b0314618,3,104.0,42.9,185.0
2026-09-13T17:40:00Z,1420b0314618,4,104.0,42.8,185.0
